id,xmin,xmax,ymin,ymax,elevation,x,y,visit,distance,mark,prev,terrainrugg,distance_boundary,distance_water,distance_isr_water
0,34.17644119262695,34.201438903808594,33.47898864746094,33.503990173339844,1e+16,1,165,0,999999999.0,0,,,1.0090103149414062,2.166335344314575,1.0841771364212036
1,34.201438903808594,34.2264404296875,33.47898864746094,33.503990173339844,1e+16,2,165,0,999999999.0,0,,,0.9860124588012695,2.151087999343872,1.0630877017974854
2,34.2264404296875,34.25143814086914,33.47898864746094,33.503990173339844,1e+16,3,165,0,999999999.0,0,,,0.9631108045578003,2.1360223293304443,1.0421679019927979
3,34.25143814086914,34.27643966674805,33.47898864746094,33.503990173339844,1e+16,4,165,0,999999999.0,0,,,0.9403195381164551,2.1211464405059814,1.0214347839355469
4,34.27643966674805,34.30144119262695,33.47898864746094,33.503990173339844,1e+16,5,165,0,999999999.0,0,,,0.9176397919654846,2.106459856033325,1.0008933544158936
5,34.30144119262695,34.326438903808594,33.47898864746094,33.503990173339844,1e+16,6,165,0,999999999.0,0,,,0.8950836658477783,2.0919690132141113,0.9805591702461243
6,34.326438903808594,34.3514404296875,33.47898864746094,33.503990173339844,1e+16,7,165,0,999999999.0,0,,,0.8726642727851868,2.0776801109313965,0.9604483842849731
7,34.3514404296875,34.37643814086914,33.47898864746094,33.503990173339844,1e+16,8,165,0,999999999.0,0,,,0.850385308265686,2.0635931491851807,0.9405689239501953
8,34.37643814086914,34.40143966674805,33.47898864746094,33.503990173339844,1e+16,9,165,0,999999999.0,0,,,0.8282650709152222,2.0497162342071533,0.9209421277046204
9,34.40143966674805,34.42644119262695,33.47898864746094,33.503990173339844,1e+16,10,165,0,999999999.0,0,,,0.806309700012207,2.0360496044158936,0.9015783071517944
10,34.42644119262695,34.451438903808594,33.47898864746094,33.503990173339844,1e+16,11,165,0,999999999.0,0,,,0.7845366597175598,2.022599935531616,0.8824979066848755
11,34.451438903808594,34.4764404296875,33.47898864746094,33.503990173339844,1e+16,12,165,0,999999999.0,0,,,0.7629648447036743,2.009373188018799,0.8637226223945618
12,34.4764404296875,34.50143814086914,33.47898864746094,33.503990173339844,1e+16,13,165,0,999999999.0,0,,,0.7416049242019653,1.99636971950531,0.8452668190002441
13,34.50143814086914,34.52643966674805,33.47898864746094,33.503990173339844,1e+16,14,165,0,999999999.0,0,,,0.720482587814331,1.983598232269287,0.827157735824585
14,34.52643966674805,34.55144119262695,33.47898864746094,33.503990173339844,1e+16,15,165,0,999999999.0,0,,,0.6996126174926758,1.9710590839385986,0.809412956237793
15,34.55144119262695,34.576438903808594,33.47898864746094,33.503990173339844,1e+16,16,165,0,999999999.0,0,,,0.6790218353271484,1.9587587118148804,0.7920598387718201
16,34.576438903808594,34.6014404296875,33.47898864746094,33.503990173339844,1e+16,17,165,0,999999999.0,0,,,0.658739447593689,1.9467036724090576,0.775120735168457
17,34.6014404296875,34.62643814086914,33.47898864746094,33.503990173339844,1e+16,18,165,0,999999999.0,0,,,0.6387884020805359,1.9348946809768677,0.7585628628730774
18,34.62643814086914,34.65143966674805,33.47898864746094,33.503990173339844,1e+16,19,165,0,999999999.0,0,,,0.6192070245742798,1.9233373403549194,0.7424802184104919
19,34.65143966674805,34.67644119262695,33.47898864746094,33.503990173339844,1e+16,20,165,0,999999999.0,0,,,0.6000253558158875,1.9119458198547363,0.726899266242981
20,34.67644119262695,34.701438903808594,33.47898864746094,33.503990173339844,1e+16,21,165,0,999999999.0,0,,,0.5812861919403076,1.9008084535598755,0.7118555307388306
21,34.701438903808594,34.7264404296875,33.47898864746094,33.503990173339844,1e+16,22,165,0,999999999.0,0,,,0.5630364418029785,1.8899378776550293,0.6973860263824463
22,34.7264404296875,34.75143814086914,33.47898864746094,33.503990173339844,1e+16,23,165,0,999999999.0,0,,,0.5453194975852966,1.8793352842330933,0.683522641658783
23,34.75143814086914,34.77643966674805,33.47898864746094,33.503990173339844,1e+16,24,165,0,999999999.0,0,,,0.5281946063041687,1.8690086603164673,0.6703073382377625
24,34.77643966674805,34.80144119262695,33.47898864746094,33.503990173339844,1e+16,25,165,0,999999999.0,0,,,0.5117157101631165,1.8589591979980469,0.6577749848365784
25,34.80144119262695,34.826438903808594,33.47898864746094,33.503990173339844,1e+16,26,165,0,999999999.0,0,,,0.4959501326084137,1.8491933345794678,0.6459675431251526
26,34.826438903808594,34.8514404296875,33.47898864746094,33.503990173339844,1e+16,27,165,0,999999999.0,0,,,0.4809702932834625,1.8397166728973389,0.6349271535873413
27,34.8514404296875,34.87643814086914,33.47898864746094,33.503990173339844,1e+16,28,165,0,999999999.0,0,,,0.4668469727039337,1.830531120300293,0.6246909499168396
28,34.87643814086914,34.90143966674805,33.47898864746094,33.503990173339844,1e+16,29,165,0,999999999.0,0,,,0.45366474986076355,1.8216437101364136,0.6153022646903992
29,34.90143966674805,34.92644119262695,33.47898864746094,33.503990173339844,1e+16,30,165,0,999999999.0,0,,,0.44150370359420776,1.8130561113357544,0.6067975759506226
30,34.92644119262695,34.951438903808594,33.47898864746094,33.503990173339844,1e+16,31,165,0,999999999.0,0,,,0.4304526448249817,1.8047739267349243,0.5992160439491272
31,34.951438903808594,34.9764404296875,33.47898864746094,33.503990173339844,1e+16,32,165,0,999999999.0,0,,,0.4206005036830902,1.7968027591705322,0.5925940275192261
32,34.9764404296875,35.00143814086914,33.47898864746094,33.503990173339844,1e+16,33,165,0,999999999.0,0,,,0.4120301604270935,1.7891442775726318,0.5869619250297546
